SAFRA,Município,REGIAO,PRODUCAO
08/09,Moreira Sales,Centro-oeste,40.42
09/10,Moreira Sales,Centro-oeste,52.87
10/11,Moreira Sales,Centro-oeste,54.53
11/12,Moreira Sales,Centro-oeste,39.25
12/13,Moreira Sales,Centro-oeste,53.19
13/14,Moreira Sales,Centro-oeste,55.52
14/15,Moreira Sales,Centro-oeste,51.21
15/16,Moreira Sales,Centro-oeste,47.27
16/17,Moreira Sales,Centro-oeste,57.85
17/18,Moreira Sales,Centro-oeste,55.0
18/19,Moreira Sales,Centro-oeste,43.38
19/20,Moreira Sales,Centro-oeste,51.67
20/21,Moreira Sales,Centro-oeste,51.67
21/22,Moreira Sales,Centro-oeste,15.83
22/23,Moreira Sales,Centro-oeste,68.17
23/24,Moreira Sales,Centro-oeste,35.83
96/97,Moreira Sales,Centro-oeste,40.0
97/98,Moreira Sales,Centro-oeste,38.33
98/99,Moreira Sales,Centro-oeste,41.67
99/00,Moreira Sales,Centro-oeste,41.33
00/01,Nova Esperança do Sudoeste,Sudoeste,53.33
01/02,Nova Esperança do Sudoeste,Sudoeste,41.67
02/03,Nova Esperança do Sudoeste,Sudoeste,50.0
03/04,Nova Esperança do Sudoeste,Sudoeste,33.33
04/05,Nova Esperança do Sudoeste,Sudoeste,18.67
05/06,Nova Esperança do Sudoeste,Sudoeste,30.11
06/07,Nova Esperança do Sudoeste,Sudoeste,49.14
07/08,Nova Esperança do Sudoeste,Sudoeste,46.67
08/09,Nova Esperança do Sudoeste,Sudoeste,41.67
09/10,Nova Esperança do Sudoeste,Sudoeste,48.55
10/11,Nova Esperança do Sudoeste,Sudoeste,58.33
11/12,Nova Esperança do Sudoeste,Sudoeste,33.33
12/13,Nova Esperança do Sudoeste,Sudoeste,50.89
13/14,Nova Esperança do Sudoeste,Sudoeste,46.24
14/15,Nova Esperança do Sudoeste,Sudoeste,53.24
15/16,Nova Esperança do Sudoeste,Sudoeste,54.51
16/17,Nova Esperança do Sudoeste,Sudoeste,65.0
17/18,Nova Esperança do Sudoeste,Sudoeste,60.0
18/19,Nova Esperança do Sudoeste,Sudoeste,48.33
19/20,Nova Esperança do Sudoeste,Sudoeste,70.0
20/21,Nova Esperança do Sudoeste,Sudoeste,66.67
21/22,Nova Esperança do Sudoeste,Sudoeste,15.0
22/23,Nova Esperança do Sudoeste,Sudoeste,66.67
23/24,Nova Esperança do Sudoeste,Sudoeste,53.33
96/97,Nova Esperança do Sudoeste,Sudoeste,41.67
97/98,Nova Esperança do Sudoeste,Sudoeste,36.67
98/99,Nova Esperança do Sudoeste,Sudoeste,38.33
99/00,Nova Esperança do Sudoeste,Sudoeste,38.33
00/01,Pinhal de São Bento,Sudoeste,53.33
01/02,Pinhal de São Bento,Sudoeste,43.33
02/03,Pinhal de São Bento,Sudoeste,48.33
03/04,Pinhal de São Bento,Sudoeste,33.33
04/05,Pinhal de São Bento,Sudoeste,19.17
05/06,Pinhal de São Bento,Sudoeste,35.5
06/07,Pinhal de São Bento,Sudoeste,50.0
07/08,Pinhal de São Bento,Sudoeste,46.67
08/09,Pinhal de São Bento,Sudoeste,30.0
09/10,Pinhal de São Bento,Sudoeste,53.8
10/11,Pinhal de São Bento,Sudoeste,56.67
11/12,Pinhal de São Bento,Sudoeste,31.67
12/13,Pinhal de São Bento,Sudoeste,50.19
13/14,Pinhal de São Bento,Sudoeste,48.21
14/15,Pinhal de São Bento,Sudoeste,58.33
15/16,Pinhal de São Bento,Sudoeste,57.5
16/17,Pinhal de São Bento,Sudoeste,65.0
17/18,Pinhal de São Bento,Sudoeste,60.0
18/19,Pinhal de São Bento,Sudoeste,55.0
19/20,Pinhal de São Bento,Sudoeste,65.0
20/21,Pinhal de São Bento,Sudoeste,61.67
21/22,Pinhal de São Bento,Sudoeste,20.09
22/23,Pinhal de São Bento,Sudoeste,64.25
23/24,Pinhal de São Bento,Sudoeste,61.67
96/97,Pinhal de São Bento,Sudoeste,38.33
97/98,Pinhal de São Bento,Sudoeste,35.0
98/99,Pinhal de São Bento,Sudoeste,38.33
