municipio,SAFRA,Latitude,Longitude,Altitude (m),Tmax (°C),Tmin (°C),Tmed (°C),UR (%),U2 (m/s),RS (MJ/m²d),Chuva (mm),ano,mes,NDVI,AREA_TOTAL,REGIAO,Solo
Antonina,13/14,-25.100000000000005,-48.7167,500.0,26.278962264150945,16.37820754716981,20.76424528301887,81.55872641509434,0.031650943396226414,17.375471698113206,3.941132075471698,2013.4245283018868,6.89622641509434,,,,Cambissolo Háplico distrófico
Antonina,14/15,-25.100000000000005,-48.7167,500.0,26.444764150943396,16.995990566037737,21.055990566037735,82.39698113207547,0.03372641509433962,17.282169811320756,5.226933962264151,2014.4245283018868,6.89622641509434,,,,Cambissolo Háplico distrófico
Antonina,15/16,-25.1,-48.7167,500.0,25.814178403755868,17.368356807511738,21.069718309859155,86.84023474178404,0.02431924882629108,14.878544600938968,5.851924882629108,2015.4272300469484,6.873239436619718,,,,Cambissolo Háplico distrófico
Antonina,16/17,-25.100000000000005,-48.7167,500.0,25.55382075471698,16.473537735849057,20.409481132075474,84.50051886792453,0.02339622641509434,16.43938679245283,4.302783018867925,2016.4245283018868,6.89622641509434,,,,Cambissolo Háplico distrófico
Antonina,17/18,-25.100000000000005,-48.7167,500.0,25.978443396226417,16.624669811320754,20.689009433962262,84.1352358490566,0.029386792452830192,16.462169811320756,5.724009433962264,2017.4245283018868,6.89622641509434,,,,Cambissolo Háplico distrófico
Antonina,18/19,-25.100000000000005,-48.7167,500.0,27.00009433962264,17.0738679245283,21.277924528301888,82.01938679245283,0.021886792452830192,16.709858490566038,4.601273584905661,2018.4245283018868,6.89622641509434,,,,Cambissolo Háplico distrófico
Antonina,19/20,-25.1,-48.7167,500.0,27.730093896713615,16.372394366197184,21.17943661971831,78.26784037558686,0.016807511737089203,16.661267605633803,3.152018779342723,2019.4272300469484,6.873239436619718,,,,Cambissolo Háplico distrófico
Antonina,20/21,-25.100000000000005,-48.7167,500.0,27.907500000000002,16.92759433962264,21.450754716981134,79.36962264150944,0.024245283018867924,16.683254716981132,3.4035377358490564,2020.4245283018868,6.89622641509434,,,,Cambissolo Háplico distrófico
Antonina,21/22,-25.100000000000005,-48.7167,500.0,27.484103773584906,16.427735849056603,21.062405660377358,79.35283018867923,0.017452830188679245,16.89424528301887,3.7425471698113206,2021.4245283018868,6.89622641509434,,,,Cambissolo Háplico distrófico
Antonina,22/23,-25.100000000000005,-48.7167,500.0,25.514811320754717,16.073915094339622,20.12617924528302,83.28325471698113,0.02419811320754717,16.496462264150942,4.374103773584905,2022.4245283018868,6.89622641509434,,,,Cambissolo Háplico distrófico
Antonina,23/24,-25.1,-48.7167,500.0,28.146103286384974,17.48417840375587,22.12732394366197,80.66873239436619,0.027417840375586852,16.021596244131455,4.563380281690141,2023.4272300469484,6.873239436619718,,,,Cambissolo Háplico distrófico
