SAFRA,Município,REGIAO,AREA TOTAL,PRODUCAO
17/18,Imbaú,Sul,2270,8399
18/19,Imbaú,Sul,3280,10168
19/20,Imbaú,Sul,3050,11490
20/21,Imbaú,Sul,3050,11210
21/22,Imbaú,Sul,2750,9815
22/23,Imbaú,Sul,2850,10485
23/24,Imbaú,Sul,2850,9930
96/97,Imbaú,Sul,280,700
97/98,Imbaú,Sul,1000,2500
98/99,Imbaú,Sul,1200,3000
99/00,Imbaú,Sul,1300,3640
00/01,Lindoeste,Oeste,2000,5800
01/02,Lindoeste,Oeste,3000,8550
02/03,Lindoeste,Oeste,3000,8400
03/04,Lindoeste,Oeste,2000,5760
04/05,Lindoeste,Oeste,3410,7767
05/06,Lindoeste,Oeste,3650,6570
06/07,Lindoeste,Oeste,5800,20300
07/08,Lindoeste,Oeste,5825,"18736,78"
08/09,Lindoeste,Oeste,5800,16240
09/10,Lindoeste,Oeste,6400,20310
10/11,Lindoeste,Oeste,6300,20160
11/12,Lindoeste,Oeste,6260,12520
12/13,Lindoeste,Oeste,6300,"21086,1"
13/14,Lindoeste,Oeste,12550,43925
14/15,Lindoeste,Oeste,13012,"42138,65"
15/16,Lindoeste,Oeste,13260,"45987,26"
16/17,Lindoeste,Oeste,12920,44574
17/18,Lindoeste,Oeste,13070,"48607,3"
18/19,Lindoeste,Oeste,9000,26100
19/20,Lindoeste,Oeste,8020,"32721,6"
20/21,Lindoeste,Oeste,10500,39900
21/22,Lindoeste,Oeste,10815,"12112,8"
22/23,Lindoeste,Oeste,11605,"52222,5"
23/24,Lindoeste,Oeste,11450,"39742,95"
96/97,Lindoeste,Oeste,950,"2505,4"
97/98,Lindoeste,Oeste,2400,6000
98/99,Lindoeste,Oeste,2900,7250
99/00,Lindoeste,Oeste,3150,7875
00/01,Mato Rico,Sul,2515,"7170,27"
01/02,Mato Rico,Sul,3000,8700
02/03,Mato Rico,Sul,3500,11200
03/04,Mato Rico,Sul,3500,9800
04/05,Mato Rico,Sul,4630,"9954,5"
05/06,Mato Rico,Sul,3400,8500
