municipio,SAFRA,ano,mes,REGIAO,Solo,Altitude (m),Tmax (°C),Tmin (°C),Tmed (°C),UR (%),U2 (m/s),RS (MJ/m²d),Chuva (mm),NDVI,AREA TOTAL,PRODUCAO,YIELD_SC_HA
Bandeirantes,08/09,2008,11,Norte,Nitossolo Vermelho eutrófico,420.0,30.295333333333335,18.519333333333336,24.117,71.56566666666666,2.6286666666666667,22.605999999999998,123.5,0.5858666666666666,13550.0,26829.0,33.0
Bandeirantes,08/09,2008,12,Norte,Nitossolo Vermelho eutrófico,420.0,33.42741935483871,19.206774193548387,26.149354838709677,61.85935483870968,2.321290322580645,25.453225806451613,86.13,0.675875,13550.0,26829.0,33.0
Bandeirantes,08/09,2009,1,Norte,Nitossolo Vermelho eutrófico,420.0,28.87,20.037096774193547,24.27032258064516,79.45129032258063,2.5061290322580643,18.741290322580646,297.38,0.797775,13550.0,26829.0,33.0
Bandeirantes,08/09,2009,2,Norte,Nitossolo Vermelho eutrófico,420.0,28.599999999999998,21.158214285714283,24.860357142857143,83.32107142857141,1.8442857142857143,19.95321428571429,205.54000000000002,0.7916,13550.0,26829.0,33.0
Bandeirantes,08/09,2009,3,Norte,Nitossolo Vermelho eutrófico,420.0,29.086774193548386,20.09225806451613,24.448064516129033,78.81387096774193,1.8351612903225807,20.748709677419356,60.150000000000006,0.6970000000000001,13550.0,26829.0,33.0
Bandeirantes,09/10,2009,9,Norte,Nitossolo Vermelho eutrófico,420.0,27.34466666666667,17.192666666666664,21.982333333333333,81.775,2.5156666666666667,15.072000000000001,176.78,0.381075,13700.0,40826.0,49.67
Bandeirantes,09/10,2009,10,Norte,Nitossolo Vermelho eutrófico,420.0,27.96516129032258,17.177419354838708,22.51516129032258,80.81903225806451,2.6083870967741936,19.13064516129032,287.74,0.4735333333333333,13700.0,40826.0,49.67
Bandeirantes,09/10,2009,11,Norte,Nitossolo Vermelho eutrófico,420.0,29.479,21.548,25.386000000000003,83.11333333333333,2.0946666666666665,20.317333333333334,202.83,0.6695,13700.0,40826.0,49.67
Bandeirantes,09/10,2009,12,Norte,Nitossolo Vermelho eutrófico,420.0,28.51290322580645,20.629032258064516,24.536451612903225,83.71322580645162,2.3680645161290323,20.7241935483871,235.84,0.7550749999999999,13700.0,40826.0,49.67
Bandeirantes,09/10,2010,1,Norte,Nitossolo Vermelho eutrófico,420.0,27.84193548387097,21.370967741935484,24.426129032258064,87.88806451612903,2.1990322580645163,18.38806451612903,286.35,0.7668,13700.0,40826.0,49.67
Bandeirantes,09/10,2010,2,Norte,Nitossolo Vermelho eutrófico,420.0,29.025714285714287,21.2825,25.15392857142857,83.36678571428571,1.9485714285714286,20.104642857142856,129.07,0.708225,13700.0,40826.0,49.67
Bandeirantes,09/10,2010,3,Norte,Nitossolo Vermelho eutrófico,420.0,28.815483870967743,20.1,24.188064516129035,82.31645161290322,2.1009677419354835,18.99,165.69,0.669,13700.0,40826.0,49.67
Bandeirantes,10/11,2010,9,Norte,Nitossolo Vermelho eutrófico,420.0,30.963666666666665,15.779333333333334,22.713666666666665,60.458333333333336,3.2276666666666665,16.930666666666667,103.76,0.288425,14140.0,49207.2,58.0
Bandeirantes,10/11,2010,10,Norte,Nitossolo Vermelho eutrófico,420.0,28.94161290322581,16.330645161290324,22.293870967741935,71.33741935483872,2.7119354838709677,19.991935483870968,141.66,0.3998333333333333,14140.0,49207.2,58.0
Bandeirantes,10/11,2010,11,Norte,Nitossolo Vermelho eutrófico,420.0,31.770333333333333,17.871,24.562666666666665,64.62833333333333,2.557666666666667,23.771666666666665,69.39,0.454025,14140.0,49207.2,58.0
Bandeirantes,10/11,2010,12,Norte,Nitossolo Vermelho eutrófico,420.0,30.08967741935484,20.51483870967742,25.145806451612902,77.67806451612903,2.285483870967742,20.169354838709676,175.82,0.667025,14140.0,49207.2,58.0
Bandeirantes,10/11,2011,1,Norte,Nitossolo Vermelho eutrófico,420.0,29.03548387096774,21.550645161290323,25.173870967741934,82.14451612903225,1.6029032258064515,21.899677419354838,231.82,0.829675,14140.0,49207.2,58.0
Bandeirantes,10/11,2011,2,Norte,Nitossolo Vermelho eutrófico,420.0,28.521785714285716,21.37964285714286,24.79642857142857,83.69821428571429,1.6182142857142858,19.733214285714286,145.84,0.7779750000000002,14140.0,49207.2,58.0
Bandeirantes,10/11,2011,3,Norte,Nitossolo Vermelho eutrófico,420.0,27.42225806451613,19.205161290322582,23.075806451612905,84.62290322580645,2.677741935483871,16.323548387096775,108.79,0.718325,14140.0,49207.2,58.0
Bandeirantes,11/12,2011,9,Norte,Nitossolo Vermelho eutrófico,420.0,32.375,14.608,22.716,55.522666666666666,3.155666666666667,20.715333333333334,7.42,0.339425,14500.0,32349.5,37.18
