municipio,SAFRA,REGIAO,Solo,Altitude (m),Tmax (°C),Tmin (°C),Tmed (°C),UR (%),U2 (m/s),RS (MJ/m²d),Chuva (mm),NDVI,AREA TOTAL,PRODUCAO,YIELD_SC_HA
Campina do Simão,06/07,Sul,Latossolo Bruno distrófico,994.0,26.138160377358492,16.275943396226417,20.864056603773587,78.74608490566037,0.2259433962264151,19.43617924528302,1080.73,0.7990428852201259,6400.0,17600.0,45.83
Campina do Simão,07/08,Sul,Latossolo Bruno distrófico,994.0,26.560328638497655,15.829671361502346,20.834835680751173,75.11478873239437,0.21230046948356807,19.815399061032867,896.63,0.7979735915492958,5800.0,15370.0,44.17
Campina do Simão,08/09,Sul,Latossolo Bruno distrófico,994.0,25.100801886792453,15.295471698113207,19.895613207547168,79.39537735849056,0.21410377358490568,19.765990566037736,902.2,0.8163168632075473,5950.0,14875.0,41.67
Campina do Simão,09/10,Sul,Latossolo Bruno distrófico,994.0,24.79047169811321,16.950943396226414,20.61995283018868,87.38551886792453,0.2069811320754717,17.933537735849058,1558.31,0.8214428459119497,6620.0,18535.0,46.66
Campina do Simão,10/11,Sul,Latossolo Bruno distrófico,994.0,24.45117924528302,15.643254716981131,19.75551886792453,83.73801886792452,0.2079245283018868,18.50551886792453,1132.68,0.8419742924528302,6810.0,21440.0,52.47
Campina do Simão,11/12,Sul,Latossolo Bruno distrófico,994.0,26.230422535211268,14.927089201877934,20.209671361502348,74.36704225352113,0.197981220657277,21.14680751173709,670.27,0.8369751564945227,6100.0,15860.0,43.33
Campina do Simão,12/13,Sul,Latossolo Bruno distrófico,994.0,26.598349056603777,16.22367924528302,21.023537735849054,76.36834905660378,0.21665094339622643,19.0511320754717,1061.75,0.8323206367924528,6300.0,19215.0,50.83
Campina do Simão,13/14,Sul,Latossolo Bruno distrófico,994.0,25.70570754716981,15.682028301886794,20.400377358490566,78.44811320754717,0.21575471698113208,20.11117924528302,817.62,0.8270633254716981,7900.0,24885.0,52.5
Campina do Simão,14/15,Sul,Latossolo Bruno distrófico,994.0,25.70566037735849,16.60259433962264,20.798584905660377,81.05240566037736,0.21018867924528303,19.48702830188679,874.44,0.7842634827044025,8400.0,26040.0,51.67
Campina do Simão,15/16,Sul,Latossolo Bruno distrófico,994.0,25.1343661971831,17.10150234741784,20.83718309859155,86.21859154929578,0.20704225352112676,17.28680751173709,1303.1,0.7367608763693271,8600.0,27950.0,54.17
Campina do Simão,16/17,Sul,Latossolo Bruno distrófico,994.0,24.630849056603772,15.566603773584905,19.809622641509435,83.43646226415093,0.21245283018867925,19.997028301886793,1022.33,0.8151795990566038,9700.0,36666.0,63.0
Campina do Simão,17/18,Sul,Latossolo Bruno distrófico,994.0,25.227311320754715,16.16188679245283,20.46174528301887,82.26014150943396,0.21372641509433962,18.89438679245283,1426.28,0.7482209512578616,10100.0,34643.0,57.17
Campina do Simão,18/19,Sul,Latossolo Bruno distrófico,994.0,25.966839622641512,16.658254716981133,20.999858490566037,81.22462264150943,0.21485849056603773,19.05377358490566,1131.6,0.7993310927672956,10550.0,35448.0,56.0
Campina do Simão,19/20,Sul,Latossolo Bruno distrófico,994.0,27.654929577464788,16.404272300469483,21.71807511737089,72.71244131455398,0.2091549295774648,20.21394366197183,838.53,0.7820888106416275,10820.0,42065.0,64.8
Campina do Simão,20/21,Sul,Latossolo Bruno distrófico,994.0,27.32,16.379716981132077,21.42490566037736,74.4766037735849,0.23084905660377358,19.774716981132073,767.97,0.8068147405660377,10920.0,38115.0,58.17
Campina do Simão,21/22,Sul,Latossolo Bruno distrófico,994.0,27.730330188679243,16.484622641509432,21.759764150943393,72.10716981132074,0.21726415094339624,20.16419811320755,880.75,0.8359658411949686,11280.0,37928.0,56.04
Campina do Simão,22/23,Sul,Latossolo Bruno distrófico,994.0,24.18943396226415,15.288301886792452,19.454198113207546,83.17150943396227,0.2104245283018868,18.91556603773585,1128.77,0.8200674135220126,11720.0,47912.0,68.13
Campina do Simão,23/24,Sul,Latossolo Bruno distrófico,994.0,26.660281690140845,17.439765258215964,21.76680751173709,81.4380751173709,0.21455399061032865,18.632488262910798,1237.08,0.7975473004694836,12160.0,47328.0,64.87
Campina do Simão,99/00,Sul,Latossolo Bruno distrófico,994.0,25.547833333333333,16.697166666666668,20.790333333333333,83.31033333333333,0.20400000000000001,18.837833333333332,298.11,0.8067508333333333,3300.0,7755.0,39.17
Cruzeiro do Sul,00/01,Noroeste,Latossolo Vermelho distrófico,456.0,30.401462264150943,19.544716981132073,24.502547169811322,75.77146226415094,1.213679245283019,20.99127358490566,1091.65,0.6139596698113208,600.0,2100.0,58.33
Cruzeiro do Sul,01/02,Noroeste,Latossolo Vermelho distrófico,456.0,30.917311320754717,19.142783018867924,24.5311320754717,72.30768867924527,1.340566037735849,21.844764150943398,947.87,0.6207669811320754,1600.0,5552.0,57.83
