municipio,SAFRA,ano,mes,REGIAO,Solo,Altitude (m),Tmax (°C),Tmin (°C),Tmed (°C),UR (%),U2 (m/s),RS (MJ/m²d),Chuva (mm),NDVI,AREA TOTAL,PRODUCAO,YIELD_SC_HA,GDD,VPD,NDVI_x_RS,NDVI_Quadrado,Tmed_Quadrado,Desvio_Temp_Otima,Chuva_Total_Safra_Anterior,NDVI_Medio_Safra_Anterior
Bandeirantes,03/04,2003,10,Norte,Nitossolo Vermelho eutrófico,420.0,31.29548387096774,16.984193548387097,23.679354838709678,64.6858064516129,2.983225806451613,20.565483870967743,89.56,0.3920666666666667,12000.0,31200.0,43.33,14.13983870967742,1.0336356686976436,8.06304070967742,0.1537162711111111,560.7118455775234,0.10281331945889678,1104.1000000000001,0.5155404761904762
Bandeirantes,03/04,2003,11,Norte,Nitossolo Vermelho eutrófico,420.0,31.19833333333333,17.91,24.398333333333333,66.95233333333333,2.8513333333333333,22.036,137.75,0.469,12000.0,31200.0,43.33,14.554166666666667,1.0099392896607569,10.334884,0.21996099999999996,595.2786694444444,0.15866944444444453,1104.1000000000001,0.5155404761904762
Bandeirantes,03/04,2003,12,Norte,Nitossolo Vermelho eutrófico,420.0,30.48677419354839,20.40064516129032,25.406774193548387,76.29645161290323,2.3770967741935483,22.052258064516128,140.49,0.69435,12000.0,31200.0,43.33,15.443709677419356,0.7692625096810375,15.311985387096774,0.4821219225,645.5041749219563,1.9790136316337135,1104.1000000000001,0.5155404761904762
Bandeirantes,03/04,2004,1,Norte,Nitossolo Vermelho eutrófico,420.0,31.12322580645161,19.835806451612903,25.263548387096773,72.46483870967741,2.570322580645161,23.06709677419355,167.0,0.85845,12000.0,31200.0,43.33,15.479516129032255,0.8860397084295638,19.801949225806457,0.7369364025,638.2468771071799,1.5965545265348553,1104.1000000000001,0.5155404761904762
Bandeirantes,03/04,2004,2,Norte,Nitossolo Vermelho eutrófico,420.0,30.29689655172414,19.49241379310345,24.71793103448276,73.99206896551723,2.432413793103448,23.58551724137931,110.44,0.804825,12000.0,31200.0,43.33,14.894655172413792,0.8101320951405826,18.982213913793103,0.647743280625,610.9761146254459,0.5154249702734858,1104.1000000000001,0.5155404761904762
Bandeirantes,03/04,2004,3,Norte,Nitossolo Vermelho eutrófico,420.0,30.700000000000003,18.85903225806452,24.372258064516128,70.63903225806452,2.210322580645161,21.28903225806452,85.62,0.501775,12000.0,31200.0,43.33,14.77951612903226,0.895874388950697,10.682304161290324,0.251778150625,594.0069631633714,0.13857606659729368,1104.1000000000001,0.5155404761904762
Bandeirantes,04/05,2004,9,Norte,Nitossolo Vermelho eutrófico,420.0,33.528333333333336,16.703333333333333,24.44233333333333,56.96566666666667,2.759,18.621,32.64,0.238825,15500.0,29450.0,31.67,15.115833333333335,1.3185992507117594,4.447160325,0.057037380625,597.4276587777777,0.19565877777777516,799.1600000000001,0.5858666666666668
Bandeirantes,04/05,2004,10,Norte,Nitossolo Vermelho eutrófico,420.0,28.831612903225807,17.075161290322583,22.60032258064516,72.0374193548387,2.871935483870968,18.51322580645161,243.34,0.3016,15500.0,29450.0,31.67,12.953387096774193,0.7667994544839681,5.583588903225806,0.09096255999999998,510.77458074921947,1.9590968782518279,799.1600000000001,0.5858666666666668
Bandeirantes,04/05,2004,11,Norte,Nitossolo Vermelho eutrófico,420.0,28.94033333333333,18.09,23.518666666666665,76.19833333333332,2.472,21.95266666666667,135.85,0.4233,15500.0,29450.0,31.67,13.515166666666666,0.689960098112087,9.292563800000002,0.17918289,553.1276817777776,0.23168177777777976,799.1600000000001,0.5858666666666668
Bandeirantes,04/05,2004,12,Norte,Nitossolo Vermelho eutrófico,420.0,29.815806451612904,19.006129032258062,24.475161290322585,72.90354838709676,2.23,22.79290322580645,137.37,0.64425,15500.0,29450.0,31.67,14.410967741935483,0.8318842570684264,14.684327903225807,0.4150580625,599.0335201873052,0.22577825182102434,799.1600000000001,0.5858666666666668
Bandeirantes,04/05,2005,1,Norte,Nitossolo Vermelho eutrófico,420.0,28.313870967741934,20.80354838709677,24.5058064516129,84.84322580645161,2.309032258064516,17.955483870967743,339.16,0.8532,15500.0,29450.0,31.67,14.558709677419351,0.4661794329533667,15.319618838709678,0.72795024,600.5345498439125,0.2558401664932345,799.1600000000001,0.5858666666666668
Bandeirantes,04/05,2005,2,Norte,Nitossolo Vermelho eutrófico,420.0,30.27178571428572,19.34357142857143,24.823571428571427,72.88321428571429,2.137857142857143,24.32107142857143,33.36,0.700475,15500.0,29450.0,31.67,14.807678571428575,0.8500135042468367,17.03630250892857,0.4906652256249999,616.2096984693876,0.6782698979591805,799.1600000000001,0.5858666666666668
Bandeirantes,04/05,2005,3,Norte,Nitossolo Vermelho eutrófico,420.0,32.96709677419355,20.276129032258066,26.121935483870967,66.48387096774194,2.218387096774193,20.38258064516129,71.53999999999999,0.4813,15500.0,29450.0,31.67,16.62161290322581,1.1347708404464898,9.81013606451613,0.23164969000000002,682.3555134235171,4.502610197710715,799.1600000000001,0.5858666666666668
Bandeirantes,05/06,2005,9,Norte,Nitossolo Vermelho eutrófico,420.0,26.94533333333333,14.550666666666666,20.28,74.27466666666666,3.0206666666666666,14.936333333333332,128.29,0.4417999999999999,16300.0,36349.0,37.17,10.747999999999998,0.6120362072906322,6.598872066666665,0.19518723999999993,411.27840000000003,13.838399999999991,993.26,0.5204214285714286
Bandeirantes,05/06,2005,10,Norte,Nitossolo Vermelho eutrófico,420.0,29.006129032258062,19.02354838709677,23.830645161290324,79.08129032258064,2.321290322580645,16.24838709677419,211.01,0.4648666666666667,16300.0,36349.0,37.17,14.014838709677417,0.6178801156734997,7.553333548387096,0.21610101777777782,567.8996488033299,0.028681061394380425,993.26,0.5204214285714286
Bandeirantes,05/06,2005,11,Norte,Nitossolo Vermelho eutrófico,420.0,30.785666666666668,17.953333333333333,24.02733333333333,70.694,3.013,23.651,70.97,0.39395,16300.0,36349.0,37.17,14.369500000000002,0.8759025371609351,9.31731145,0.15519660250000003,577.312747111111,0.0007471111111109951,993.26,0.5204214285714286
Bandeirantes,05/06,2005,12,Norte,Nitossolo Vermelho eutrófico,420.0,29.721290322580646,18.92516129032258,24.16967741935484,75.20483870967742,2.80483870967742,23.236451612903227,169.52,0.618425,16300.0,36349.0,37.17,14.323225806451614,0.7474358127646082,14.370002588709678,0.382449480625,584.1733065556713,0.02879042663891847,993.26,0.5204214285714286
Bandeirantes,05/06,2006,1,Norte,Nitossolo Vermelho eutrófico,420.0,31.195483870967745,21.294516129032257,25.97,74.00225806451614,1.802258064516129,22.62258064516129,110.91,0.8068,16300.0,36349.0,37.17,16.245,0.8723498671660501,18.251898064516126,0.65092624,674.4408999999999,3.8808999999999956,993.26,0.5204214285714286
Bandeirantes,05/06,2006,2,Norte,Nitossolo Vermelho eutrófico,420.0,29.62642857142857,20.81107142857143,25.074285714285715,79.06071428571428,1.8746428571428573,19.895000000000003,227.8,0.732575,16300.0,36349.0,37.17,15.21875,0.6662507445794713,14.574579625000002,0.536666130625,628.7198040816327,1.1540897959183682,993.26,0.5204214285714286
Bandeirantes,05/06,2006,3,Norte,Nitossolo Vermelho eutrófico,420.0,29.89548387096774,21.056451612903224,25.136451612903222,80.02709677419355,2.114193548387097,19.148387096774197,95.78,0.5001,16300.0,36349.0,37.17,15.475967741935484,0.6378578635231414,9.576108387096776,0.25010001,631.841199687825,1.2915222684703358,993.26,0.5204214285714286
Bandeirantes,06/07,2006,9,Norte,Nitossolo Vermelho eutrófico,420.0,28.675666666666665,14.071333333333332,20.84,65.73966666666666,2.975,17.059,117.83,0.341375,14350.0,39462.5,45.83,11.3735,0.8437182797805942,5.823516125,0.11653689062499999,434.30559999999997,9.985600000000002,1014.28,0.5655023809523809
Bandeirantes,06/07,2006,10,Norte,Nitossolo Vermelho eutrófico,420.0,30.33129032258065,18.48967741935484,24.239032258064515,71.97322580645161,2.462903225806452,21.00935483870968,115.28,0.3927,14350.0,39462.5,45.83,14.410483870967745,0.8483696952621171,8.250373645161291,0.15421329,587.5306848074922,0.05713642039542111,1014.28,0.5655023809523809
