municipio,SAFRA,REGIAO,AREA TOTAL,PRODUCAO,YIELD_SC_HA
Imbaú,99/00,Sul,1300,3640.0,46.67
Lindoeste,00/01,Oeste,2000,5800.0,48.33
Lindoeste,01/02,Oeste,3000,8550.0,47.5
Lindoeste,02/03,Oeste,3000,8400.0,46.67
Lindoeste,03/04,Oeste,2000,5760.0,48.0
Lindoeste,04/05,Oeste,3410,7767.0,37.96
Lindoeste,05/06,Oeste,3650,6570.0,30.0
Lindoeste,06/07,Oeste,5800,20300.0,58.33
Lindoeste,07/08,Oeste,5825,18736.78,53.61
Lindoeste,08/09,Oeste,5800,16240.0,46.67
Lindoeste,09/10,Oeste,6400,20310.0,52.89
Lindoeste,10/11,Oeste,6300,20160.0,53.33
Lindoeste,11/12,Oeste,6260,12520.0,33.33
Lindoeste,12/13,Oeste,6300,21086.1,55.78
Lindoeste,13/14,Oeste,12550,43925.0,58.33
Lindoeste,14/15,Oeste,13012,42138.65,53.97
Lindoeste,15/16,Oeste,13260,45987.26,57.8
Lindoeste,16/17,Oeste,12920,44574.0,57.5
Lindoeste,17/18,Oeste,13070,48607.3,61.98
Lindoeste,18/19,Oeste,9000,26100.0,48.33
Lindoeste,19/20,Oeste,8020,32721.6,68.0
Lindoeste,20/21,Oeste,10500,39900.0,63.33
Lindoeste,21/22,Oeste,10815,12112.8,18.67
Lindoeste,22/23,Oeste,11605,52222.5,75.0
Lindoeste,23/24,Oeste,11450,39742.95,57.85
Lindoeste,96/97,Oeste,950,2505.4,43.95
Lindoeste,97/98,Oeste,2400,6000.0,41.67
Lindoeste,98/99,Oeste,2900,7250.0,41.67
Lindoeste,99/00,Oeste,3150,7875.0,41.67
Mato Rico,00/01,Sul,2515,7170.27,47.52
Mato Rico,01/02,Sul,3000,8700.0,48.33
Mato Rico,02/03,Sul,3500,11200.0,53.33
Mato Rico,03/04,Sul,3500,9800.0,46.67
Mato Rico,04/05,Sul,4630,9954.5,35.83
Mato Rico,05/06,Sul,3400,8500.0,41.67
Mato Rico,06/07,Sul,4000,11600.0,48.33
Mato Rico,07/08,Sul,4200,12600.0,50.0
Mato Rico,08/09,Sul,4400,12760.0,48.33
Mato Rico,09/10,Sul,5250,16275.0,51.67
Mato Rico,10/11,Sul,5250,17062.5,54.17
Mato Rico,11/12,Sul,5500,16500.0,50.0
Mato Rico,12/13,Sul,9000,22500.0,41.67
Mato Rico,13/14,Sul,10400,31200.0,50.0
Mato Rico,14/15,Sul,10600,31800.0,50.0
Mato Rico,15/16,Sul,9200,21620.0,39.17
Mato Rico,16/17,Sul,9200,34500.0,62.5
Mato Rico,17/18,Sul,9200,34960.0,63.33
Mato Rico,18/19,Norte,9500,31825.0,55.83
Mato Rico,19/20,Sul,9600,35520.0,61.67
Mato Rico,20/21,Sul,10300,35741.0,57.83
Mato Rico,21/22,Norte,13000,28600.0,36.67
Mato Rico,22/23,Sul,13800,48300.0,58.33
Mato Rico,23/24,Sul,13900,46565.0,55.83
Mato Rico,96/97,Sul,1000,2200.0,36.67
Mato Rico,97/98,Sul,1500,3300.0,36.67
Mato Rico,98/99,Sul,1500,3300.0,36.67
Mato Rico,99/00,Sul,1500,3720.0,41.33
Moreira Sales,00/01,Centro-oeste,3000,8553.0,47.52
Moreira Sales,01/02,Centro-oeste,6300,18742.5,49.58
Moreira Sales,02/03,Centro-oeste,10250,27951.75,45.45
Moreira Sales,03/04,Centro-oeste,14000,32970.0,39.25
Moreira Sales,04/05,Centro-oeste,15500,32550.0,35.0
Moreira Sales,05/06,Centro-oeste,15000,37200.0,41.33
Moreira Sales,06/07,Centro-oeste,14000,42000.0,50.0
Moreira Sales,07/08,Centro-oeste,14000,37520.0,44.67
Moreira Sales,08/09,Centro-oeste,15300,37109.5,40.42
Moreira Sales,09/10,Centro-oeste,12300,39021.0,52.87
Moreira Sales,10/11,Centro-oeste,12000,39264.0,54.53
Moreira Sales,11/12,Centro-oeste,13000,30615.0,39.25
Moreira Sales,12/13,Centro-oeste,13116,41858.8,53.19
Moreira Sales,13/14,Centro-oeste,13100,43636.0,55.52
Moreira Sales,14/15,Centro-oeste,13200,40560.0,51.21
Moreira Sales,15/16,Centro-oeste,13500,38288.3,47.27
Moreira Sales,16/17,Centro-oeste,13000,45123.0,57.85
Moreira Sales,17/18,Centro-oeste,12200,40260.0,55.0
Moreira Sales,18/19,Centro-oeste,13000,33839.0,43.38
Moreira Sales,19/20,Centro-oeste,13100,40610.0,51.67
Moreira Sales,20/21,Centro-oeste,13100,40610.0,51.67
Moreira Sales,21/22,Centro-oeste,14000,13300.0,15.83
Moreira Sales,22/23,Centro-oeste,14000,57260.0,68.17
Moreira Sales,23/24,Centro-oeste,14000,30100.0,35.83
Moreira Sales,96/97,Centro-oeste,1650,3960.0,40.0
Moreira Sales,97/98,Centro-oeste,2000,4600.0,38.33
Moreira Sales,98/99,Centro-oeste,2600,6500.0,41.67
Moreira Sales,99/00,Centro-oeste,2200,5456.0,41.33
Nova Esperança do Sudoeste,00/01,Sudoeste,350,1120.0,53.33
Nova Esperança do Sudoeste,01/02,Sudoeste,1000,2500.0,41.67
Nova Esperança do Sudoeste,02/03,Sudoeste,1000,3000.0,50.0
Nova Esperança do Sudoeste,03/04,Sudoeste,2000,4000.0,33.33
Nova Esperança do Sudoeste,04/05,Sudoeste,2300,2576.0,18.67
Nova Esperança do Sudoeste,05/06,Sudoeste,1550,2800.0,30.11
Nova Esperança do Sudoeste,06/07,Sudoeste,1450,4275.0,49.14
Nova Esperança do Sudoeste,07/08,Sudoeste,1400,3920.0,46.67
Nova Esperança do Sudoeste,08/09,Sudoeste,1500,3750.0,41.67
Nova Esperança do Sudoeste,09/10,Sudoeste,2300,6700.0,48.55
Nova Esperança do Sudoeste,10/11,Sudoeste,2100,7350.0,58.33
Nova Esperança do Sudoeste,11/12,Sudoeste,2000,4000.0,33.33
Nova Esperança do Sudoeste,12/13,Sudoeste,2050,6260.0,50.89
Nova Esperança do Sudoeste,13/14,Sudoeste,2150,5965.0,46.24
Nova Esperança do Sudoeste,14/15,Sudoeste,2420,7730.0,53.24
Nova Esperança do Sudoeste,15/16,Sudoeste,2550,8340.0,54.51
Nova Esperança do Sudoeste,16/17,Sudoeste,2300,8970.0,65.0
Nova Esperança do Sudoeste,17/18,Sudoeste,1500,5400.0,60.0
Nova Esperança do Sudoeste,18/19,Sudoeste,1700,4930.0,48.33
Nova Esperança do Sudoeste,19/20,Sudoeste,1800,7560.0,70.0
Nova Esperança do Sudoeste,20/21,Sudoeste,1950,7800.0,66.67
Nova Esperança do Sudoeste,21/22,Sudoeste,2450,2205.0,15.0
Nova Esperança do Sudoeste,22/23,Sudoeste,2900,11600.0,66.67
